Points For,Points Against,Strength of Schedule,Yards Per Play,Turnovers,Yards From Penalties,Offensive Rating,Defensive Rating,Location
-2.75,1.5,-0.3,-0.5,0.0625,-26.9375,-2.8000000000000003,-1.8,-1.0
2.6875,-0.875,0.5,0.20000000000000018,-0.375,-14.625,3.0,1.0999999999999999,-1.0
9.625,1.5625,-0.8,0.7999999999999998,-0.5,-17.5625,10.0,-2.7,1.0
4.625,1.375,0.8,0.9000000000000004,-0.625,-14.8125,5.0,-1.0,1.0
2.375,0.625,2.2,0.9000000000000004,0.25,11.1875,3.8,0.2,1.0
-2.9375,3.375,-0.29999999999999993,-0.09999999999999964,0.4375,9.75,-2.9000000000000004,-3.7,-1.0
3.875,-0.875,0.30000000000000004,0.6000000000000005,0.0,18.0,4.1,1.0,1.0
4.1875,1.375,-1.2000000000000002,0.7000000000000002,0.0,-6.375,3.9,-2.3000000000000003,-1.0
1.5625,-1.3125,0.8,0.6000000000000005,-0.125,-0.0625,1.6999999999999997,2.0,-1.0
5.875,-2.0,0.6000000000000001,1.1000000000000005,-0.375,10.9375,6.1,2.4,-1.0
2.5,0.8125,-0.7000000000000001,0.40000000000000036,-0.25,-13.0,2.1999999999999997,-1.2,1.0
1.875,6.5,0.10000000000000003,0.7999999999999998,0.5625,0.0,2.5,-7.1000000000000005,1.0
7.0625,-4.8125,-1.2999999999999998,0.7999999999999998,-0.8125,1.0,6.8,3.8,1.0
4.375,0.4375,0.9,1.1000000000000005,-0.375,0.8125,5.199999999999999,-0.4,-1.0
4.1875,1.375,-1.2000000000000002,0.7000000000000002,0.0,-6.375,3.9,-2.3000000000000003,1.0
2.5,1.3125,1.1,1.0,-0.5,3.75,3.4,-1.1,-1.0
7.0625,-3.6875,0.4,1.0,0.125,-7.4375,7.7,3.5,1.0
1.5625,-1.3125,0.8,0.6000000000000005,-0.125,-0.0625,1.6999999999999997,2.0,1.0
1.875,6.5,0.10000000000000003,0.7999999999999998,0.5625,0.0,2.5,-7.1000000000000005,-1.0
2.5,0.8125,-0.7000000000000001,0.40000000000000036,-0.25,-13.0,2.1999999999999997,-1.2,-1.0
0.3125,7.8125,-0.7,0.1999999999999993,0.6875,0.0625,0.8,-9.100000000000001,1.0
2.625,2.6875,-2.0,0.09999999999999964,0.125,-6.3125,2.2,-4.300000000000001,-1.0
